TestCase,Result
TestCase_0,"{'11': 498, '00': 526}"
TestCase_1,"{'01': 537, '10': 487}"
TestCase_2,"{'11': 512, '00': 512}"
TestCase_3,"{'10': 511, '01': 513}"
TestCase_4,"{'00': 503, '11': 521}"
TestCase_5,"{'00': 538, '11': 486}"
TestCase_6,"{'11': 507, '00': 517}"
TestCase_7,"{'11': 506, '00': 518}"
TestCase_8,"{'10': 509, '01': 515}"
TestCase_9,"{'10': 523, '01': 501}"
TestCase_10,"{'10': 506, '01': 518}"
TestCase_11,"{'10': 507, '01': 517}"
TestCase_12,"{'10': 234, '11': 271, '01': 264, '00': 255}"
TestCase_13,"{'10': 242, '00': 230, '11': 281, '01': 271}"
TestCase_14,"{'01': 506, '10': 518}"
TestCase_15,"{'01': 517, '10': 507}"
TestCase_16,"{'10': 274, '00': 251, '01': 230, '11': 269}"
TestCase_17,"{'11': 266, '10': 248, '00': 259, '01': 251}"
TestCase_18,"{'01': 775, '10': 63, '11': 175, '00': 11}"
TestCase_19,"{'01': 363, '11': 252, '10': 285, '00': 124}"
TestCase_20,"{'00': 245, '01': 642, '11': 37, '10': 100}"
TestCase_21,"{'00': 496, '11': 528}"
TestCase_22,"{'01': 260, '11': 261, '10': 236, '00': 267}"
TestCase_23,"{'00': 250, '11': 267, '10': 249, '01': 258}"
