TestCase,Result
TestCase_0,"{'01': 361, '00': 462, '10': 62, '11': 139}"
TestCase_1,"{'00': 477, '11': 442, '01': 60, '10': 45}"
TestCase_2,"{'11': 76, '10': 538, '00': 287, '01': 123}"
TestCase_3,"{'11': 343, '10': 459, '01': 159, '00': 63}"
TestCase_4,"{'01': 47, '00': 456, '10': 62, '11': 459}"
TestCase_5,"{'00': 549, '10': 266, '01': 75, '11': 134}"
TestCase_6,"{'01': 340, '00': 460, '11': 179, '10': 45}"
TestCase_7,"{'10': 448, '01': 469, '00': 49, '11': 58}"
TestCase_8,"{'11': 521, '01': 267, '10': 80, '00': 156}"
TestCase_9,"{'10': 486, '11': 337, '01': 163, '00': 38}"
TestCase_10,"{'10': 452, '01': 474, '11': 54, '00': 44}"
TestCase_11,"{'11': 299, '01': 514, '10': 119, '00': 92}"
TestCase_12,"{'01': 327, '11': 173, '00': 476, '10': 48}"
TestCase_13,"{'10': 37, '11': 486, '00': 446, '01': 55}"
TestCase_14,"{'01': 132, '10': 528, '00': 289, '11': 75}"
TestCase_15,"{'00': 517, '10': 396, '01': 48, '11': 63}"
TestCase_16,"{'01': 801, '00': 217, '10': 3, '11': 3}"
TestCase_17,"{'11': 365, '10': 211, '00': 190, '01': 258}"
TestCase_18,"{'01': 332, '00': 454, '10': 55, '11': 183}"
TestCase_19,"{'01': 62, '11': 471, '00': 425, '10': 66}"
TestCase_20,"{'00': 279, '10': 554, '11': 63, '01': 128}"
TestCase_21,"{'00': 394, '10': 331, '01': 272, '11': 27}"
TestCase_22,"{'01': 88, '11': 667, '10': 33, '00': 236}"
TestCase_23,"{'00': 579, '11': 105, '10': 123, '01': 217}"
